,index,barrio
0,robledo,1004
1,manrique_central_no._1,488
2,san_javier_no._1,433
3,aranjuez,394
4,belen,389
5,buenos_aires,373
6,popular,371
7,cabecera_san_cristobal,355
8,castilla,329
9,enciso,314
10,manrique_central_no._2,272
11,santo_domingo_savio,259
12,santa_cruz,257
13,cabecera_san_antonio,251
14,manrique_oriental,237
15,campo_valdes_no._1,237
16,barrio_caicedo,236
17,doce_de_octubre_no._1,209
18,la_milagrosa,177
19,villa_hermosa,171
20,moravia,171
21,el_salvador,125
22,andalucia,120
23,pedregal,117
24,guayabal,114
25,belencito,92
26,la_floresta,92
27,20_de_julio,92
28,villatina,90
29,playon_de_los,85
30,granizal,81
31,florencia,72
32,picacho,71
33,calasanz,68
34,santander,68
35,boston,59
36,santa_elena_central,56
37,centro_admtivo,53
38,san_pablo,50
39,carpinelo,49
40,llanaditas,49
41,juan_xxiii_la_quiebra,49
42,alfonso_lopez,48
43,la_francia,48
44,las_palmas,47
45,trinidad,46
46,altavista,46
47,villa_niza,44
48,villa_del_socorro,43
49,boyaca,41
50,girardot,38
51,pablo_vi,37
52,picachito,36
53,loreto,36
54,olaya_herrera,36
55,la_pradera,35
56,francisco_antonio_zea,34
57,kennedy,33
58,santa_lucia,32
59,prado,31
60,toscana,28
61,lopez_de_mesa,27
62,san_diego,27
63,13_de_noviembre,27
64,la_candelaria,26
65,el_socorro,25
66,blanquizal,25
67,tejelo,25
68,belalcazar,25
69,la_america,24
70,san_jose_de_la_cima_no.,24
71,palmitas,24
72,cordoba,23
73,tricentenario,22
74,la_libertad,21
75,la_loma,21
76,la_esperanza,21
77,san_javier_no._2,21
78,campo_valdes_no._2,20
79,la_sierra,17
80,miranda,17
81,sucre,17
82,la_avanzada,17
83,cristo_rey,14
84,el_chagualo,14
85,nuevos_conquistadores,14
86,bombona_no._1,14
87,versalles_no._1,13
88,el_compromiso,13
89,san_german,12
90,santa_rosa_de_lima,12
91,antonio_nariño,11
92,palermo,11
93,el_pinal,11
94,villa_guadalupe,10
95,aguas_frias,10
96,jesus_nazareno,10
97,aures_no._2,10
98,la_colina,9
99,san_antonio,9
100,san_benito,9
101,jardin_botanico,8
102,el_vergel,8
103,sevilla,8
104,los_mangos,8
105,las_brisas,8
106,santa_monica,8
107,las_violetas,7
108,bello_horizonte,7
109,bel¿n,7
110,santa_ines,7
111,el_poblado,7
112,la_cruz,7
113,vrda._san_cristobal,7
114,el_corazon,6
115,alejandro_echavarria,6
116,el_triunfo,6
117,el_salado,6
118,el_pesebre,6
119,zona_expansion_san,6
120,pajarito,6
121,versalles_no._2,6
122,eduardo_santos,6
123,juan_pablo_ii,6
124,la_ladera,6
125,calasanz_parte_alta,6
126,el_diamante,6
127,la_salle,5
128,el_rodeo,5
129,ocho_de_marzo,5
130,campo_amor,5
131,pedregal_alto,5
132,san_pedro,5
133,metropolitano,4
134,la_isla,4
135,maria_cano,4
136,cataluna,4
137,las_granjas,3
138,bosques_de_san_pablo,3
139,los_alcazares,3
140,los_cerros_el_vergel,3
141,bombona_no._2,3
142,san_martin_de_porres,3
143,gerona,3
144,la_frontera,3
145,vrda._san_antonio,3
146,palenque,3
147,laureles,3
148,santa_margarita,3
149,moscu_no._1,3
150,naranjal,3
151,san_bernardo,2
152,fuente_clara,2
153,progreso,2
154,el_astillero,2
155,la_oculta,2
156,la_florida,2
157,santa_teresita,2
158,suburbano_altavista,2
159,el_rincon,2
160,hector_abad_gomez,2
161,la_loma_oriental,2
162,el_progreso_no._2,2
163,rosales,2
164,la_esperanza_no._2,2
165,la_palma,2
166,doce_de_octubre_no._2,2
167,san_josé_de_la_montaña,2
168,barrio_colon,2
169,las_esmeraldas,2
170,miraflores,2
171,barrio_cristobal,2
172,la_aguacatala,2
173,yarumalito,2
174,la_mansion,2
175,caribe,2
176,la_cuchilla,1
177,vrda._santa_elena,1
178,veinte_de_julio,1
179,la_hondonada,1
180,vrda._palmitas,1
181,universidad_de,1
182,altamira,1
183,betania,1
184,santa_maria_de_los,1
185,el_raizal,1
186,villa_turbay,1
187,barro_blanco,1
188,manila,1
189,travesias,1
190,aures_no._1,1
191,san_joaquin,1
192,suburbano_barro,1
193,la_aldea,1
194,san_isidro,1
195,monteclaro,1
196,suburbano_santa_elena,1
197,oleoducto,1
198,santa_fe,1
199,villa_flora,1
200,villa_nueva,1
201,antonio_nari¿o,1
202,villa_liliam,1
203,fatima,1
204,carlos_e._restrepo,1
205,miravalle,1
206,parque_norte,1
207,florida_nueva,1
208,barrio_de_jesus,1
209,barrio_colombia,1
210,el_estadio,1
211,campo_alegre,1
212,loma_de_los_bernal,1
213,moscu_no._2,1
214,el_llano,1
215,la_volcana_y_guayabal,1
216,granada,1
217,mirador_del_doce,1
218,sin_barrio,1
219,las_independencias,1
220,oriente,1
221,brasilia,1
222,los_angeles,1
